Symbol,Class,Methodology,Strategy,aR,aSD,IR,MD,trades,avg_no_monthly_trades,buys,sells,Buy_Success_Rate,Short_Success_Rate,Combined_Success_Rate,PortfolioValue
EURUSD=X,FX,Random: 0.1,Active,2.022,11.862,0.17,31.46,2233,10.74,2298,2190,0.258,0.2455,0.5036,71423
EURUSD=X,FX,Random: 0.1,Passive,-0.94,11.526,-0.082,37.808,1,0,1,0,0.4982,0,0.4982,42256
EURUSD=X,FX,Random: 0.2,Active,1.344,11.559,0.116,28.575,2253,10.83,2176,2312,0.2415,0.256,0.4975,63425
EURUSD=X,FX,Random: 0.2,Passive,-0.94,11.526,-0.082,37.808,1,0,1,0,0.4982,0,0.4982,42256
EURUSD=X,FX,Random: 0.3,Active,-3.007,11.849,-0.254,61.135,2242,10.78,2217,2271,0.2395,0.2464,0.486,29029
EURUSD=X,FX,Random: 0.3,Passive,-0.94,11.526,-0.082,37.808,1,0,1,0,0.4982,0,0.4982,42256
EURUSD=X,FX,Random: 0.4,Active,-2.027,11.972,-0.169,57.921,2266,10.89,2241,2247,0.248,0.2491,0.4971,34719
EURUSD=X,FX,Random: 0.4,Passive,-0.94,11.526,-0.082,37.808,1,0,1,0,0.4982,0,0.4982,42256
EURUSD=X,FX,Random: 0.5,Active,-2.291,11.977,-0.191,59.951,2227,10.71,2276,2212,0.252,0.2451,0.4971,33094
EURUSD=X,FX,Random: 0.5,Passive,-0.94,11.526,-0.082,37.808,1,0,1,0,0.4982,0,0.4982,42256
EURUSD=X,FX,Random: 0.6,Active,4.486,11.593,0.387,19.802,2258,10.86,2199,2289,0.246,0.2547,0.5007,109247
EURUSD=X,FX,Random: 0.6,Passive,-0.94,11.526,-0.082,37.808,1,0,1,0,0.4982,0,0.4982,42256
EURUSD=X,FX,Random: 0.7,Active,-3.204,11.897,-0.269,58.404,2247,10.8,2275,2213,0.2504,0.2429,0.4933,27996
EURUSD=X,FX,Random: 0.7,Passive,-0.94,11.526,-0.082,37.808,1,0,1,0,0.4982,0,0.4982,42256
EURUSD=X,FX,Random: 0.8,Active,1.402,11.657,0.12,30.131,2267,10.9,2215,2273,0.2498,0.2556,0.5053,64065
